e01_eq_same_distinct	TYPECK_REJECT	error: type `Id` does not implement `Eq` (the `==` operator)
e02_ne_same_distinct	TYPECK_REJECT	error: type `Id` does not implement `Eq` (the `!=` operator)
e03_lt_same_distinct	TYPECK_REJECT	error: type `Id` does not implement `Ord` (the `<` operator)
e04_eq_same_distinct_str	TYPECK_REJECT	error: type `P` does not implement `Eq` (the `==` operator)
e05_eq_via_cast_control	RUN_OK	true
e06_match_on_distinct	CGEN_REJECT	error: the C backend only supports `match` on enum values
e07_loop_cond_distinct	TYPECK_REJECT	error: type `Id` does not implement `Ord` (the `<` operator)
e08_eq_impl_control	RUN_OK	true
f01_over_bool_if	RUN_OK	1
f02_over_f64_arith	TYPECK_REJECT	error: type `Metres` does not implement `Add` (the `+` operator)
f03_over_u8_arith	TYPECK_REJECT	error: type `Byte` does not implement `Add` (the `+` operator)
f04_over_char	RUN_OK	true
f05_over_string_owned	GCC_REJECT	f05_over_string_owned.jtr:7:40: error: 'Jestyr_PB' {aka 'struct <anonymous>'} has no member named 'j_len'; did you mean 'len'?
f06_over_distinct_chained	RUN_OK	1
f07_over_enum_cast_match	GCC_REJECT	f07_over_enum_cast_match.jtr:5:5: error: conversion to non-scalar type requested
f08_over_enum_direct_match	CGEN_REJECT	error: the C backend only supports `match` on enum values
f09_over_cstr	RUN_OK	1
f10_generic_param_distinct	RUN_OK	2
f11_distinct_over_str_to_str_fn	TYPECK_REJECT	error: argument `s` of `width`: expected `str`, found `P` — `distinct` types need an explicit `as`
f12_str_fn_returns_base_into_distinct	TYPECK_REJECT	error: expected `P`, found `str` — `distinct` types need an explicit `as`
f13_distinct_in_slice_elem	GCC_REJECT	f13_distinct_in_slice_elem.jtr:5:49: error: 'JestyrArr_Id_3' {aka 'struct <anonymous>'} has no member named 'j_ptr'
f14_distinct_pub_module_shape	GCC_REJECT	f14_distinct_pub_module_shape.jtr:6:5: error: conversion to non-scalar type requested
f15_distinct_pub_module_no_casts	TYPECK_REJECT	error: return: expected `Path`, found `str` — `distinct` types need an explicit `as`
g01_cast_str_var_to_distinct	RUN_OK	hello
g02_cast_distinct_str_to_base	RUN_OK	hello
g03_cast_str_in_return	RUN_OK	hello
g04_cast_str_literal_to_distinct	RUN_OK	hello
g05_cast_i64_var_to_distinct	RUN_OK	5
g06_cast_struct_var_to_distinct	RUN_OK	3
g07_distinct_str_len_via_cast	GCC_REJECT	g07_distinct_str_len_via_cast.jtr:5:5: error: conversion to non-scalar type requested
g08_two_str_distincts_cross_arg	TYPECK_REJECT	error: argument `p` of `takes_p`: expected `P`, found `Q` — `distinct` types need an explicit `as`
g09_distinct_arg_positive	GCC_REJECT	g09_distinct_arg_positive.jtr:4:5: error: conversion to non-scalar type requested
g10_distinct_str_eq_base	RUN_OK	true
g11_cast_to_base_in_let	RUN_OK	5
g12_cast_struct_to_base_in_expr	GCC_REJECT	g12_cast_struct_to_base_in_expr.jtr:6:5: error: conversion to non-scalar type requested
g13_cast_to_base_in_arg	RUN_OK	5
g14_cast_str_to_str_in_expr_control	GCC_REJECT	g14_cast_str_to_str_in_expr_control.jtr:6:5: error: conversion to non-scalar type requested
